license_number,provider_name,first_name,last_name,middle_name,suffix,license_type,specialty,secondary_specialty,status,issue_date,expiration_date,renewal_date,address_line1,address_city,address_state,address_zip,county,phone,email,medical_school,medical_school_graduation_year,residency_program,board_certification,languages,public_record,disciplinary_history,malpractice_insurance,hospital_affiliations,last_updated,house_no,area,area_type
A59785,"Davis, Ana MD",Ana,Davis,B,MD,Physician and Surgeon,Psychiatry,,Active,2019-04-08,2027-01-10,2024-10-23,698 Sunset Blvd,San jose,CA,90230,Orange,3238087911,ana.davis@email.com,Stanford University School of Medicine,2002,UCSF Medical Center,Family Medicine,English,True,,Yes,,2025-09-02,698,Sunset,Blvd
A68333,"Rodriguez, Mohammed MD",Mohammed,Rodriguez,B,MD,Physician and Surgeon,Nephrology,,Active,2022-01-27,2026-11-08,2025-02-04,6932 Pico Blvd,San jose,CA,93968,Los angeles,3232038492,mohammed.rodriguez@email.com,UCSF School of Medicine,2011,Stanford Hospital,Nephrology,English,True,,Yes,,2025-09-02,6932,Pico,Blvd
A73259,"Lee, Fatima DO",Fatima,Lee,,DO,Physician and Surgeon,Cardiology,,Inactive,2017-12-07,2026-09-15,2025-07-10,5837 Rodeo Dr,San jose,CA,94067,San diego,8186908253,fatima.lee@email.com,Stanford University School of Medicine,2002,UCLA Medical Center,Otolaryngology,English,True,,Yes,,2025-09-02,5837,Rodeo,Dr
A74835,"Martinez, Joseph DO PhD",Joseph,Martinez,A,DO PhD,Physician and Surgeon,Gastroenterology,,Inactive,2020-08-21,2026-08-16,2024-10-09,8939 Hollywood Blvd,San francisco,CA,94539,Santa clara,6463856001,joseph.martinez@email.com,UCLA David Geffen School of Medicine,2011,UCSF Medical Center,Dermatology,English,True,,Yes,,2025-09-02,8939,Hollywood,Blvd
A72874,"Liu, Jessica MD PhD",Jessica,Liu,A,MD PhD,Physician and Surgeon,Otolaryngology,,Inactive,2023-06-26,2026-08-12,2025-05-06,5577 Sunset Blvd,San jose,CA,95435,Contra costa,3474943788,jessica.liu@email.com,Stanford University School of Medicine,1999,UCSF Medical Center,Emergency Medicine,English,True,,Yes,,2025-09-02,5577,Sunset,Blvd
A80623,"Lewis, David DO PhD",David,Lewis,,DO PhD,Physician and Surgeon,Dermatology,,Active,2020-04-26,2026-08-09,2024-11-30,3073 Pico Blvd,San francisco,CA,96149,Fresno,3235065303,david.lewis@email.com,UCSF School of Medicine,2015,UCLA Medical Center,Emergency Medicine,English,True,,Yes,,2025-09-02,3073,Pico,Blvd
A75056,"Wilson, Ana DO PhD",Ana,Wilson,A,DO PhD,Physician and Surgeon,Endocrinology,,Active,2019-04-15,2026-08-03,2025-07-11,1360 Sunset Blvd,San francisco,CA,96160,Alameda,3233162342,ana.wilson@email.com,Stanford University School of Medicine,1997,Stanford Hospital,Nephrology,English,True,,Yes,,2025-09-02,1360,Sunset,Blvd
A62489,"Robinson, Christopher DO",Christopher,Robinson,,DO,Physician and Surgeon,Radiology,,Inactive,2017-09-20,2026-07-07,2025-05-20,6212 Rodeo Dr,San francisco,CA,94175,Fresno,2137815019,christopher.robinson@email.com,UCLA David Geffen School of Medicine,2001,UCLA Medical Center,Urology,English,True,,Yes,,2025-09-02,6212,Rodeo,Dr
A63225,"Lee, Ahmed MD",Ahmed,Lee,,MD,Physician and Surgeon,Endocrinology,,Active,2019-12-31,2026-06-29,2025-02-26,1377 Santa Monica Blvd,Los angeles,CA,94334,Los angeles,9295152519,ahmed.lee@email.com,UCSF School of Medicine,2004,UCSF Medical Center,Anesthesiology,English,True,,Yes,,2025-09-02,1377,Santa Monica,Blvd
A92313,"White, Wei MD",Wei,White,B,MD,Physician and Surgeon,Endocrinology,,Active,2023-06-11,2026-06-04,2025-08-27,5217 Hollywood Blvd,Los angeles,CA,90998,Fresno,9177982307,wei.white@email.com,UCLA David Geffen School of Medicine,1997,Stanford Hospital,Dermatology,English,True,,Yes,,2025-09-02,5217,Hollywood,Blvd
