provider_id,npi,first_name,last_name,credential,full_name,primary_specialty,practice_address_line1,practice_address_line2,practice_city,practice_state,practice_zip,practice_phone,mailing_address_line1,mailing_address_line2,mailing_city,mailing_state,mailing_zip,license_number,license_state,license_expiration,accepting_new_patients,board_certified,years_in_practice,medical_school,residency_program,last_updated,taxonomy_code,house_no_p,area_p,area_type_p,house_no_m,area_m,area_type_m,valid_npi,license_number_gt,provider_name_gt,first_name_gt,last_name_gt,middle_name_gt,suffix_gt,license_type_gt,specialty_gt,secondary_specialty_gt,status_gt,issue_date_gt,expiration_date_gt,renewal_date_gt,address_line1_gt,address_city_gt,address_state_gt,address_zip_gt,county_gt,phone_gt,email_gt,medical_school_gt,medical_school_graduation_year_gt,residency_program_gt,board_certification_gt,languages_gt,public_record_gt,disciplinary_history_gt,malpractice_insurance_gt,hospital_affiliations_gt,last_updated_gt,house_no_gt,area_gt,area_type_gt
PR_00001,133890832,Rajesh,Davis,MD,"Rajesh Davis, MD",Pulmonology,4013 Hollywood Blvd,,San francisco,CA,90002,8188659928,4013 Hollywood Blvd,,San francisco,CA,90002,A21395,CA,2025-05-14,No,True,29,University of Michigan Medical School,NewYork-Presbyterian Hospital,2025-08-30,221429110X,4013,Hollywood,Blvd,4013,Hollywood,Blvd,1,A21395,"Rajesh G Davis, MD",Rajesh,Davis,,MD,Physician and Surgeon,Internal Medicine,,Expired,2022-02-17,2025-05-14,2025-03-15,4013 Hollywood Blvd,San francisco,CA,90002,Fresno,8188659928,rajesh g.davis@email.com,University of Michigan Medical School,1991,NewYork-Presbyterian Hospital,Internal Medicine,"English, Spanish",False,,Yes,Kaiser Permanente,2025-07-28,4013,Hollywood,Blvd
PR_00004,2269166973,Joseph,Chen,MD PhD,"Joseph Chen, MD PhD",Cardiology,7020 Pico Blvd,Suite 241,Oakland,CA,91001,3234571188,7020 Pico Blvd,Suite 241,Oakland,CA,91001,A21915,CA,2023-04-07,Unknown,True,35,Columbia University Vagelos College of Physicians and Surgeons,UCLA Medical Center,2025-07-07,239392920X,7020,Pico,Blvd,7020,Pico,Blvd,1,A21915,"Joseph D Chen, MD PhD",Joseph,Chen,,MD PhD,Physician and Surgeon,Cardiology,Neurology,Expired,2019-10-27,2023-04-07,2023-01-04,7020 Pico Blvd,Oakland,CA,91001,Los angeles,3234571188,joseph d.chen@email.com,Columbia University Vagelos College of Physicians and Surgeons,1986,UCLA Medical Center,Cardiology,English,False,,No,Kaiser Permanente,2025-07-09,7020,Pico,Blvd
PR_00006,5787133150,David,Shah,MD,"David Shah, MD",Oncology,8728 Sunset Blvd,,San francisco,CA,93001,2128024770,8646 Pico Blvd,,Oakland,CA,93001,A36365,CA,2024-09-30,Unknown,True,1,Stanford University School of Medicine,Massachusetts General Hospital,2025-05-08,209046318X,8728,Sunset,Blvd,8646,Pico,Blvd,1,A36365,"Dave Shah, MD",Dave,Shah,D,MD,Physician and Surgeon,Oncology,Orthopedic Surgery,Expired,2020-04-24,2024-09-30,2024-01-11,8728 Sunset Blvd,San francisco,CA,93001,Riverside,2128024770,dave.shah@email.com,Stanford University School of Medicine,2016,Massachusetts General Hospital,Oncology,English,True,,No,Stanford Hospital,2025-05-21,8728,Sunset,Blvd
PR_00009,2191361936,Christopher,Brown,MD,"Christopher Brown, MD",Pediatrics,937 Main St,,Santa ana,CA,94001,4248081651,937 Main St,,Santa ana,CA,94001,A17455,CA,2025-11-06,Unknown,True,27,University of Michigan Medical School,UCLA Medical Center,2025-04-22,227415205X,937,Main,St,937,Main,St,1,A17455,"Christopher A Brown, MD",Christopher,Brown,,MD,Physician and Surgeon,Pediatrics,,Active,2020-11-21,2025-11-06,2025-07-29,937 Main St,Santa ana,CA,94001,Orange,4248081651,christopher a.brown@email.com,University of Michigan Medical School,1993,UCLA Medical Center,Pediatrics,"English, Spanish, Portuguese",True,,Yes,UCSF Medical Center,2025-03-25,937,Main,St
PR_00011,9353487408,Susan,Smith,MD PhD,"Susan Smith, MD PhD",Anesthesiology,1698 Sunset Blvd,,Fresno,CA,90002,7188497939,1698 Sunset Blvd,,Fresno,CA,90002,A30374,CA,2024-07-11,No,True,1,NYU Grossman School of Medicine,Mayo Clinic,2024-10-11,235159040X,1698,Sunset,Blvd,1698,Sunset,Blvd,1,A30374,"Susan Smith, MD PhD",Susan,Smith,,MD PhD,Physician and Surgeon,Anesthesiology,Oncology,Expired,2021-12-25,2024-07-11,2024-04-13,1698 Sunset Blvd,Fresno,CA,90002,San diego,7188497939,,NYU Grossman School of Medicine,2020,Mayo Clinic,Anesthesiology,English,False,,Unknown,Kaiser Permanente,2025-03-13,1698,Sunset,Blvd
PR_00013,3654145864,Fatima,Perez,DO PhD,"Fatima Perez, DO PhD",Family Medicine,4066 Melrose Ave,,San francisco,CA,90002,6267496425,7712 Hollywood Blvd,,San jose,CA,90002,A39831,CA,2024-04-01,Yes,True,17,Johns Hopkins School of Medicine,NewYork-Presbyterian Hospital,2025-08-14,214549543X,4066,Melrose,Ave,7712,Hollywood,Blvd,1,A39831,"Fatima Perez, DO PhD",Fatima,Perez,,DO PhD,Physician and Surgeon,Family Medicine,,Expired,2020-11-11,2024-04-01,2023-07-22,4066 Melrose Ave,San francisco,CA,90002,Los angeles,6267496425,fatima.perez@email.com,Johns Hopkins School of Medicine,2000,NewYork-Presbyterian Hospital,Family Medicine,English,False,,Unknown,UCLA Medical Center,2025-03-31,4066,Melrose,Ave
PR_00014,6159514846,Karen,Ramirez,MD PhD,"Karen Ramirez, MD PhD",Pathology,5140 Rodeo Dr,,San diego,CA,92001,6266186344,728 Rodeo Dr,,Los angeles,CA,92001,A80575,CA,2024-02-08,No,False,36,Johns Hopkins School of Medicine,Cleveland Clinic,2025-01-30,289245317X,5140,Rodeo,Dr,728,Rodeo,Dr,1,A80575,"Karen H Ramirez, MD PhD",Karen,Ramirez,,MD PhD,Physician and Surgeon,Pathology,,Expired,2020-04-17,2024-02-08,2023-10-27,5140 Rodeo Dr,San diego,CA,92001,Riverside,6266186344,,Johns Hopkins School of Medicine,1982,Cleveland Clinic,,English,False,,Unknown,Kaiser Permanente,2025-05-22,5140,Rodeo,Dr
PR_00016,163287082,Michael,Thomas,DO PhD,"Michael Thomas, DO PhD",Urology,1194 Santa Monica Blvd,Suite 813,Oakland,CA,95001,9173248478,1194 Santa Monica Blvd,Suite 813,Oakland,CA,95001,A62383,CA,2024-05-14,Yes,False,34,Yale School of Medicine,UCLA Medical Center,2025-01-19,282228802X,1194,Santa Monica,Blvd,1194,Santa Monica,Blvd,1,A62383,"MICHAEL X THOMAS, DO PHD",Michael,Thomas,D,DO PhD,Physician and Surgeon,Dermatology,,Expired,2022-10-13,2024-05-14,2024-03-20,1194 Santa Monica Blvd,Oakland,CA,95001,Los angeles,9173248478,,Yale School of Medicine,1986,UCLA Medical Center,,"English, Spanish",True,,Yes,,2025-03-31,1194,Santa Monica,Blvd
PR_00017,7347143453,Wei,Kumar,DO PhD,"Wei Kumar, DO PhD",Endocrinology,8977 Santa Monica Blvd,,San francisco,CA,93001,9297532320,8977 Santa Monica Blvd,,San francisco,CA,93001,A93579,CA,2024-07-21,Yes,True,15,UCLA David Geffen School of Medicine,Mayo Clinic,2024-09-06,228716269X,8977,Santa Monica,Blvd,8977,Santa Monica,Blvd,1,A93579,"Wei Kumar, DO PhD",Wei,Kumar,B,DO PhD,Physician and Surgeon,Endocrinology,,Expired,2022-02-21,2024-07-21,2023-10-17,8977 Santa Monica Blvd,San francisco,CA,93001,Contra costa,9297532320,wei.kumar@email.com,UCLA David Geffen School of Medicine,2002,Mayo Clinic,Endocrinology,"English, Mandarin",True,,Unknown,,2025-08-17,8977,Santa Monica,Blvd
PR_00019,7204653751,Priya,Sanchez,DO,"Priya Sanchez, DO",Dermatology,2092 Pico Blvd,,Los angeles,CA,92001,9299797211,2092 Pico Blvd,,Los angeles,CA,92001,A21003,CA,2025-05-27,No,False,17,Stanford University School of Medicine,Mount Sinai Hospital,2025-08-24,272399599X,2092,Pico,Blvd,2092,Pico,Blvd,1,A21003,"Priya Sanchez, DO",Priya,Sanchez,D,DO,Physician and Surgeon,Dermatology,,Expired,2023-06-10,2025-05-27,2025-05-08,2092 Pico Blvd,Los angeles,CA,92001,Fresno,9299797211,priya.sanchez@email.com,Stanford University School of Medicine,2000,Mount Sinai Hospital,,"English, Spanish, Portuguese",False,,Unknown,Stanford Hospital,2025-03-23,2092,Pico,Blvd
