provider_id,npi,first_name,last_name,credential,full_name,primary_specialty,practice_address_line1,practice_address_line2,practice_city,practice_state,practice_zip,practice_phone,mailing_address_line1,mailing_address_line2,mailing_city,mailing_state,mailing_zip,license_number,license_state,license_expiration,accepting_new_patients,board_certified,years_in_practice,medical_school,residency_program,last_updated,taxonomy_code,house_no_p,area_p,area_type_p,house_no_m,area_m,area_type_m,valid_npi,duplicate_of,duplicate_reason,moved_at
PR_00501,9141686013,Rajesh,Davis,MD,"Rajesh G Davis, MD",Internal Medicine,4013 Hollywood Blvd,,San francisco,CA,90002,8188659928,4013 Hollywood Blvd,,San francisco,CA,90002,A21395,CA,2025-05-14,No,True,29,University of Michigan Medical School,NewYork-Presbyterian Hospital,2025-08-30,221429110X,4013,Hollywood,Blvd,4013,Hollywood,Blvd,1,PR_00001,license|name_edu|name_phone,2025-09-07T17:59:14.218820
PR_00502,4778948967,Ahmed,Ramirez,MD PhD,"Ahmed G Ramirez, MD PhD",Internal Medicine,3528 Third Ave,,Brooklyn,NY,10002,4243962139,3528 Third Ave,,Brooklyn,NY,10002,060NY460663,NY,2024-06-25,Yes,True,19,Stanford University School of Medicine,Cleveland Clinic,2025-07-13,251019678X,3528,Third,Ave,3528,Third,Ave,1,PR_00002,license|name_edu|name_phone,2025-09-07T17:59:14.221803
PR_00503,4067917668,Thomas,Robinson,MD PhD,"Thomas K Robinson, MD PhD",Radiology,5821 Park Ave,,Buffalo,NY,10002,8185224483,4011 Madison Ave,Suite 755,Syracuse,NY,10002,060NY821590,NY,2024-03-25,Unknown,False,26,UCSF School of Medicine,Mayo Clinic,2025-04-20,218740864X,5821,Park,Ave,4011,Madison,Ave,1,PR_00003,license|name_edu|name_phone,2025-09-07T17:59:14.224819
PR_00504,1221500140,Joseph,Chen,MD PhD,"Joseph D Chen, MD PhD",Cardiology,7020 Pico Blvd,Suite 241,Oakland,CA,91001,3234571188,7020 Pico Blvd,Suite 241,Oakland,CA,91001,A21915,CA,2023-04-07,Unknown,True,35,Columbia University Vagelos College of Physicians and Surgeons,UCLA Medical Center,2025-07-07,239392920X,7020,Pico,Blvd,7020,Pico,Blvd,1,PR_00004,license|name_edu|name_phone,2025-09-07T17:59:14.227819
PR_00505,8842163091,Linda,Hernandez,DO PhD,"Linda B Hernandez, DO PhD",Urology,4316 York Ave,,Queens,NY,14201,3102192832,4316 York Ave,,Queens,NY,14201,060NY412942,NY,2025-11-05,No,False,16,Harvard Medical School,Cleveland Clinic,2024-11-16,210570592X,4316,York,Ave,4316,York,Ave,1,PR_00005,license|name_edu|name_phone,2025-09-07T17:59:14.232821
PR_00506,159446337,David,Shah,MD,"David H Shah, MD",Oncology,8728 Sunset Blvd,,San francisco,CA,93001,2128024770,8646 Pico Blvd,,Oakland,CA,93001,A36365,CA,2024-09-30,Unknown,True,1,Stanford University School of Medicine,Massachusetts General Hospital,2025-05-08,209046318X,8728,Sunset,Blvd,8646,Pico,Blvd,1,PR_00006,license|name_edu|name_phone,2025-09-07T17:59:14.236820
PR_00507,9994853209,Dave,Shah,MD,"Dave Shah, MD",Oncology,8728 Sunset Blvd,,San francisco,CA,93001,2128024770,8646 Pico Blvd,,Oakland,CA,93001,A36365,CA,2024-09-30,Unknown,True,1,Stanford University School of Medicine,Massachusetts General Hospital,2025-05-08,209046318X,8728,Sunset,Blvd,8646,Pico,Blvd,1,PR_00006,license,2025-09-07T17:59:14.237819
PR_00508,8953263898,Mohammed,Williams,MD PhD,"Mohammed A Williams, MD PhD",Psychiatry,3900 Lexington Ave,,Syracuse,NY,10004,3109461887,3900 Lexington Ave,,Syracuse,NY,10004,060NY698782,NY,2025-08-26,Unknown,True,4,UCLA David Geffen School of Medicine,UCLA Medical Center,2025-07-09,233374088X,3900,Lexington,Ave,3900,Lexington,Ave,1,PR_00007,license|name_edu|name_phone,2025-09-07T17:59:14.240843
PR_00509,2199471133,Christopher,Gonzalez,DO PhD,"Christopher N Gonzalez, DO PhD",Orthopedic Surgery,3007 Lexington Ave,,Syracuse,NY,10004,2134718454,9017 Fifth Ave,,New york,NY,10004,060NY197793,NY,2024-04-29,No,False,36,UCSF School of Medicine,Mayo Clinic,2025-05-28,239823450X,3007,Lexington,Ave,9017,Fifth,Ave,1,PR_00008,license|name_edu|name_phone,2025-09-07T17:59:14.245820
PR_00510,3379223417,Christopher,Brown,MD,"Christopher A Brown, MD",Pediatrics,937 Main St,,Santa ana,CA,94001,4248081651,937 Main St,,Santa ana,CA,94001,A17455,CA,2025-11-06,Unknown,True,27,University of Michigan Medical School,UCLA Medical Center,2025-04-22,227415205X,937,Main,St,937,Main,St,1,PR_00009,license|name_edu|name_phone,2025-09-07T17:59:14.248349
