provider_id,npi,first_name,last_name,credential,full_name,primary_specialty,practice_address_line1,practice_address_line2,practice_city,practice_state,practice_zip,practice_phone,mailing_address_line1,mailing_address_line2,mailing_city,mailing_state,mailing_zip,license_number,license_state,license_expiration,accepting_new_patients,board_certified,years_in_practice,medical_school,residency_program,last_updated,taxonomy_code,house_no_p,area_p,area_type_p,house_no_m,area_m,area_type_m,valid_npi,license_number_gt,provider_name_gt,first_name_gt,last_name_gt,license_type_gt,profession_code_gt,specialty_gt,status_gt,issue_date_gt,expiration_date_gt,last_renewal_date_gt,address_line1_gt,address_city_gt,address_state_gt,address_zip_gt,phone_gt,disciplinary_actions_gt,board_certified_gt,medical_school_gt,verification_date_gt,house_no_gt,area_gt,area_type_gt
PR_00002,7816184956,Ahmed,Ramirez,MD PhD,"Ahmed Ramirez, MD PhD",Internal Medicine,3528 Third Ave,,Brooklyn,NY,10002,4243962139,3528 Third Ave,,Brooklyn,NY,10002,060NY460663,NY,2024-06-25,Yes,True,19,Stanford University School of Medicine,Cleveland Clinic,2025-07-13,251019678X,3528,Third,Ave,3528,Third,Ave,1,060NY460663,"Ramirez, Ahmed MD PhD",Ahmed,Ramirez,Physician,60,Internal Medicine,Expired,2019-02-27,2024-06-25,2024-04-02,3528 Third Ave,Brooklyn,NY,10002,4243962139,[],True,Stanford University School of Medicine,2025-09-02,3528,Third,Ave
PR_00003,305641393,Thomas,Robinson,MD PhD,"Thomas Robinson, MD PhD",Radiology,5821 Park Ave,,Buffalo,NY,10002,8185224483,4011 Madison Ave,Suite 755,Syracuse,NY,10002,060NY821590,NY,2024-03-25,Unknown,False,26,UCSF School of Medicine,Mayo Clinic,2025-04-20,218740864X,5821,Park,Ave,4011,Madison,Ave,1,060NY821590,"Thomas K Robinson, MD PhD",Thomas,Robinson,Physician,60,Radiology,Expired,2019-02-26,2024-03-25,2023-10-27,5821 Park Ave,Buffalo,NY,10002,8185224483,[],False,UCSF School of Medicine,2025-09-02,5821,Park,Ave
PR_00005,3252880955,Linda,Hernandez,DO PhD,"Linda Hernandez, DO PhD",Urology,4316 York Ave,,Queens,NY,14201,3102192832,4316 York Ave,,Queens,NY,14201,060NY412942,NY,2025-11-05,No,False,16,Harvard Medical School,Cleveland Clinic,2024-11-16,210570592X,4316,York,Ave,4316,York,Ave,1,060NY412942,"Linda B Hernandez, DO PhD",Linda,Hernandez,Physician,60,Urology,Suspended,2019-07-28,2025-11-05,2023-12-14,4316 York Ave,Queens,NY,142**,3102192832,[],False,Harvard Medical School,2025-09-02,4316,York,Ave
PR_00007,7631165667,Mohammed,Williams,MD PhD,"Mohammed Williams, MD PhD",Psychiatry,3900 Lexington Ave,,Syracuse,NY,10004,3109461887,3900 Lexington Ave,,Syracuse,NY,10004,060NY698782,NY,2025-08-26,Unknown,True,4,UCLA David Geffen School of Medicine,UCLA Medical Center,2025-07-09,233374088X,3900,Lexington,Ave,3900,Lexington,Ave,1,060NY698782,"Mohammed Williams, MD PhD",Mohammed,Williams,Physician,60,Psychiatry,Expired,2023-05-14,2025-08-26,2024-11-01,3900 Lexington Ave,Syracuse,NY,10004,3109461887,"[{""action_type"": ""Fine"", ""action_date"": ""2025-05-29"", ""description"": ""Disciplinary action related to documentation""}]",True,UCLA David Geffen School of Medicine,2025-09-02,3900,Lexington,Ave
PR_00008,6773602605,Christopher,Gonzalez,DO PhD,"Christopher Gonzalez, DO PhD",Orthopedic Surgery,3007 Lexington Ave,,Syracuse,NY,10004,2134718454,9017 Fifth Ave,,New york,NY,10004,060NY197793,NY,2024-04-29,No,False,36,UCSF School of Medicine,Mayo Clinic,2025-05-28,239823450X,3007,Lexington,Ave,9017,Fifth,Ave,1,060NY197793,"Christopher N Gonzalez, DO PhD",Christopher,Gonzalez,Physician,60,Orthopedic Surgery,Expired,2020-05-25,2024-04-29,2024-02-15,3007 Lexington Ave,Syracuse,NY,10004,2134718454,[],False,UCSF School of Medicine,2025-09-02,3007,Lexington,Ave
PR_00010,9911838427,Priya,Lee,DO,"Priya Lee, DO",Pulmonology,2145 Columbus Ave,,Buffalo,NY,11203,9292705002,2145 Columbus Ave,,Buffalo,NY,11203,060NY176066,NY,2023-01-20,No,False,11,UCSF School of Medicine,NewYork-Presbyterian Hospital,2024-10-24,287775215X,2145,Columbus,Ave,2145,Columbus,Ave,1,060NY176066,"Priya Lee, DO",Priya,Lee,Physician,60,Pulmonology,Expired,2017-11-06,2023-01-20,2022-08-04,2145 Columbus Ave,Buffalo,NY,11203,9292705002,[],False,UCSF School of Medicine,2025-09-02,2145,Columbus,Ave
PR_00012,450533156,William,Lewis,DO PhD,"William Lewis, DO PhD",Dermatology,1833 Fifth Ave,Suite 478,Queens,NY,14201,3236163532,1833 Fifth Ave,Suite 478,Queens,NY,14201,060NY255287,NY,2025-05-30,Yes,True,12,UCLA David Geffen School of Medicine,Massachusetts General Hospital,2025-06-03,298860009X,1833,Fifth,Ave,1833,Fifth,Ave,1,060NY255287,"William Q Lewis, DO PhD",William,Lewis,Physician,60,Dermatology,Expired,2018-06-20,2025-05-30,2024-11-17,1833 Fifth Ave,Queens,NY,14201,3236163532,[],True,UCLA David Geffen School of Medicine,2025-09-02,1833,Fifth,Ave
PR_00015,7738721480,Jennifer,Lopez,MD PhD,"Jennifer Lopez, MD PhD",Pulmonology,7 Lexington Ave,,Buffalo,NY,10004,6268486491,7 Lexington Ave,,Buffalo,NY,10004,060NY786508,NY,2024-10-21,Yes,True,20,University of Pennsylvania Perelman School of Medicine,Cleveland Clinic,2025-06-19,203278320X,7,Lexington,Ave,7,Lexington,Ave,1,060NY786508,"Jennifer O Lopez, MD PhD",Jennifer,Lopez,Physician,60,Pulmonology,Expired,2021-01-18,2024-10-21,2024-06-20,7 Lexington Ave,Buffalo,NY,10004,6268486491,[],True,University of Pennsylvania Perelman School of Medicine,2025-09-02,7,Lexington,Ave
PR_00018,6705466880,David,Clark,DO PhD,"David Clark, DO PhD",Otolaryngology,7634 Second Ave,,New york,NY,10004,4244258999,7634 Second Ave,,New york,NY,10004,060NY907189,NY,2023-02-10,Yes,False,28,UCSF School of Medicine,Massachusetts General Hospital,2025-02-15,245114543X,7634,Second,Ave,7634,Second,Ave,1,060NY907189,"Dave Clark, DO PhD",Dave,Clark,Physician,60,Otolaryngology,Expired,2019-10-07,2023-02-10,2022-03-29,7634 Second Ave,New york,NY,10004,4244258999,[],False,UCSF School of Medicine,2025-09-02,7634,Second,Ave
PR_00022,7527354542,Susan,Moore,DO PhD,"Susan Moore, DO PhD",Family Medicine,9708 Lexington Avenue,,Rochester,NY,10004,4249185526,7386 Park Ave,,Syracuse,NY,10004,060NY497399,NY,2024-11-19,Unknown,True,34,University of Pennsylvania Perelman School of Medicine,Johns Hopkins Hospital,2025-05-02,296646785X,9708,Lexington,Ave,7386,Park,Ave,1,060NY497399,Susan Moore DO PhD,Susan,Moore,Physician,60,Family Medicine,Expired,2021-04-17,2024-11-19,2023-08-04,9708 Lexington Avenue,Rochester,NY,10004,4249185526,[],True,University of Pennsylvania Perelman School of Medicine,2025-09-02,9708,Lexington,Ave
