provider_id,npi,first_name,last_name,credential,full_name,primary_specialty,practice_address_line1,practice_address_line2,practice_city,practice_state,practice_zip,practice_phone,mailing_address_line1,mailing_address_line2,mailing_city,mailing_state,mailing_zip,license_number,license_state,license_expiration,accepting_new_patients,board_certified,years_in_practice,medical_school,residency_program,last_updated,taxonomy_code,house_no_p,area_p,area_type_p,house_no_m,area_m,area_type_m
PR_00001,133890832,Rajesh,Davis,MD,"Rajesh Davis, MD",Pulmonology,4013 Hollywood Blvd,,San francisco,CA,90002,8188659928,4013 Hollywood Blvd,,San francisco,CA,90002,A21395,CA,2025-05-14,No,True,29,University of Michigan Medical School,NewYork-Presbyterian Hospital,2025-08-30,221429110X,4013,Hollywood,Blvd,4013,Hollywood,Blvd
PR_00002,7816184956,Ahmed,Ramirez,MD PhD,"Ahmed Ramirez, MD PhD",Internal Medicine,3528 Third Ave,,Brooklyn,NY,10002,4243962139,3528 Third Ave,,Brooklyn,NY,10002,060NY460663,NY,2024-06-25,Yes,True,19,Stanford University School of Medicine,Cleveland Clinic,2025-07-13,251019678X,3528,Third,Ave,3528,Third,Ave
PR_00003,305641393,Thomas,Robinson,MD PhD,"Thomas Robinson, MD PhD",Radiology,5821 Park Ave,,Buffalo,NY,10002,8185224483,4011 Madison Ave,Suite 755,Syracuse,NY,10002,060NY821590,NY,2024-03-25,Unknown,False,26,UCSF School of Medicine,Mayo Clinic,2025-04-20,218740864X,5821,Park,Ave,4011,Madison,Ave
PR_00004,2269166973,Joseph,Chen,MD PhD,"Joseph Chen, MD PhD",Cardiology,7020 Pico Blvd,Suite 241,Oakland,CA,91001,3234571188,7020 Pico Blvd,Suite 241,Oakland,CA,91001,A21915,CA,2023-04-07,Unknown,True,35,Columbia University Vagelos College of Physicians and Surgeons,UCLA Medical Center,2025-07-07,239392920X,7020,Pico,Blvd,7020,Pico,Blvd
PR_00005,3252880955,Linda,Hernandez,DO PhD,"Linda Hernandez, DO PhD",Urology,4316 York Ave,,Queens,NY,14201,3102192832,4316 York Ave,,Queens,NY,14201,060NY412942,NY,2025-11-05,No,False,16,Harvard Medical School,Cleveland Clinic,2024-11-16,210570592X,4316,York,Ave,4316,York,Ave
PR_00006,5787133150,David,Shah,MD,"David Shah, MD",Oncology,8728 Sunset Blvd,,San francisco,CA,93001,2128024770,8646 Pico Blvd,,Oakland,CA,93001,A36365,CA,2024-09-30,Unknown,True,1,Stanford University School of Medicine,Massachusetts General Hospital,2025-05-08,209046318X,8728,Sunset,Blvd,8646,Pico,Blvd
PR_00007,7631165667,Mohammed,Williams,MD PhD,"Mohammed Williams, MD PhD",Psychiatry,3900 Lexington Ave,,Syracuse,NY,10004,3109461887,3900 Lexington Ave,,Syracuse,NY,10004,060NY698782,NY,2025-08-26,Unknown,True,4,UCLA David Geffen School of Medicine,UCLA Medical Center,2025-07-09,233374088X,3900,Lexington,Ave,3900,Lexington,Ave
PR_00008,6773602605,Christopher,Gonzalez,DO PhD,"Christopher Gonzalez, DO PhD",Orthopedic Surgery,3007 Lexington Ave,,Syracuse,NY,10004,2134718454,9017 Fifth Ave,,New york,NY,10004,060NY197793,NY,2024-04-29,No,False,36,UCSF School of Medicine,Mayo Clinic,2025-05-28,239823450X,3007,Lexington,Ave,9017,Fifth,Ave
PR_00009,2191361936,Christopher,Brown,MD,"Christopher Brown, MD",Pediatrics,937 Main St,,Santa ana,CA,94001,4248081651,937 Main St,,Santa ana,CA,94001,A17455,CA,2025-11-06,Unknown,True,27,University of Michigan Medical School,UCLA Medical Center,2025-04-22,227415205X,937,Main,St,937,Main,St
PR_00010,9911838427,Priya,Lee,DO,"Priya Lee, DO",Pulmonology,2145 Columbus Ave,,Buffalo,NY,11203,9292705002,2145 Columbus Ave,,Buffalo,NY,11203,060NY176066,NY,2023-01-20,No,False,11,UCSF School of Medicine,NewYork-Presbyterian Hospital,2024-10-24,287775215X,2145,Columbus,Ave,2145,Columbus,Ave
PR_00011,9353487408,Susan,Smith,MD PhD,"Susan Smith, MD PhD",Anesthesiology,1698 Sunset Blvd,,Fresno,CA,90002,7188497939,1698 Sunset Blvd,,Fresno,CA,90002,A30374,CA,2024-07-11,No,True,1,NYU Grossman School of Medicine,Mayo Clinic,2024-10-11,235159040X,1698,Sunset,Blvd,1698,Sunset,Blvd
PR_00012,450533156,William,Lewis,DO PhD,"William Lewis, DO PhD",Dermatology,1833 Fifth Ave,Suite 478,Queens,NY,14201,3236163532,1833 Fifth Ave,Suite 478,Queens,NY,14201,060NY255287,NY,2025-05-30,Yes,True,12,UCLA David Geffen School of Medicine,Massachusetts General Hospital,2025-06-03,298860009X,1833,Fifth,Ave,1833,Fifth,Ave
PR_00013,3654145864,Fatima,Perez,DO PhD,"Fatima Perez, DO PhD",Family Medicine,4066 Melrose Ave,,San francisco,CA,90002,6267496425,7712 Hollywood Blvd,,San jose,CA,90002,A39831,CA,2024-04-01,Yes,True,17,Johns Hopkins School of Medicine,NewYork-Presbyterian Hospital,2025-08-14,214549543X,4066,Melrose,Ave,7712,Hollywood,Blvd
PR_00014,6159514846,Karen,Ramirez,MD PhD,"Karen Ramirez, MD PhD",Pathology,5140 Rodeo Dr,,San diego,CA,92001,6266186344,728 Rodeo Dr,,Los angeles,CA,92001,A80575,CA,2024-02-08,No,False,36,Johns Hopkins School of Medicine,Cleveland Clinic,2025-01-30,289245317X,5140,Rodeo,Dr,728,Rodeo,Dr
PR_00015,7738721480,Jennifer,Lopez,MD PhD,"Jennifer Lopez, MD PhD",Pulmonology,7 Lexington Ave,,Buffalo,NY,10004,6268486491,7 Lexington Ave,,Buffalo,NY,10004,060NY786508,NY,2024-10-21,Yes,True,20,University of Pennsylvania Perelman School of Medicine,Cleveland Clinic,2025-06-19,203278320X,7,Lexington,Ave,7,Lexington,Ave
PR_00016,163287082,Michael,Thomas,DO PhD,"Michael Thomas, DO PhD",Urology,1194 Santa Monica Blvd,Suite 813,Oakland,CA,95001,9173248478,1194 Santa Monica Blvd,Suite 813,Oakland,CA,95001,A62383,CA,2024-05-14,Yes,False,34,Yale School of Medicine,UCLA Medical Center,2025-01-19,282228802X,1194,Santa Monica,Blvd,1194,Santa Monica,Blvd
PR_00017,7347143453,Wei,Kumar,DO PhD,"Wei Kumar, DO PhD",Endocrinology,8977 Santa Monica Blvd,,San francisco,CA,93001,9297532320,8977 Santa Monica Blvd,,San francisco,CA,93001,A93579,CA,2024-07-21,Yes,True,15,UCLA David Geffen School of Medicine,Mayo Clinic,2024-09-06,228716269X,8977,Santa Monica,Blvd,8977,Santa Monica,Blvd
PR_00018,6705466880,David,Clark,DO PhD,"David Clark, DO PhD",Otolaryngology,7634 Second Ave,,New york,NY,10004,4244258999,7634 Second Ave,,New york,NY,10004,060NY907189,NY,2023-02-10,Yes,False,28,UCSF School of Medicine,Massachusetts General Hospital,2025-02-15,245114543X,7634,Second,Ave,7634,Second,Ave
PR_00019,7204653751,Priya,Sanchez,DO,"Priya Sanchez, DO",Dermatology,2092 Pico Blvd,,Los angeles,CA,92001,9299797211,2092 Pico Blvd,,Los angeles,CA,92001,A21003,CA,2025-05-27,No,False,17,Stanford University School of Medicine,Mount Sinai Hospital,2025-08-24,272399599X,2092,Pico,Blvd,2092,Pico,Blvd
PR_00020,1937452997,Michael,Thompson,DO,"Michael Thompson, DO",Nephrology,660 Main St,,San jose,CA,90004,8189352876,660 Main St,,San jose,CA,90004,A41266,CA,2023-09-16,Yes,False,7,University of Michigan Medical School,Massachusetts General Hospital,2025-03-27,277282128X,660,Main,St,660,Main,St
PR_00021,586518502,Priya,Harris,DO PhD,"Priya Harris, DO PhD",Otolaryngology,3250 Wilshire Blvd,,San jose,CA,90002,2137012729,3250 Wilshire Blvd,,San jose,CA,90002,A99687,CA,2023-09-05,No,False,30,Johns Hopkins School of Medicine,UCSF Medical Center,2025-06-04,298488338X,3250,Wilshire,Blvd,3250,Wilshire,Blvd
PR_00022,7527354542,Susan,Moore,DO PhD,"Susan Moore, DO PhD",Family Medicine,9708 Lexington Avenue,,Rochester,NY,10004,4249185526,7386 Park Ave,,Syracuse,NY,10004,060NY497399,NY,2024-11-19,Unknown,True,34,University of Pennsylvania Perelman School of Medicine,Johns Hopkins Hospital,2025-05-02,296646785X,9708,Lexington,Ave,7386,Park,Ave
